solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
24,2,0.1447785324754793,-0.25355582378527514,0011,2,\frac{etaP^{0.03} \cdot cp^{1.01} \cdot Tl-T0^{1.01} \cdot r0^{0.87}}{Vs^{1.18} \cdot rho^{0.03} \cdot alpha^{0.93}},\frac{etaP^{0.8}}{Vs^{0.42} \cdot rho^{0.8} \cdot cp^{0.76} \cdot Tl-T0^{0.76} \cdot r0^{1.15} \cdot alpha^{0.45}},,,,,,,,
25,2,0.14479131782519475,-0.253734440753831,0011,2,\frac{etaP^{0.03} \cdot cp^{1.01} \cdot Tl-T0^{1.01} \cdot r0^{0.87}}{Vs^{1.18} \cdot rho^{0.03} \cdot alpha^{0.93}},\frac{etaP^{0.8}}{Vs^{0.42} \cdot rho^{0.8} \cdot cp^{0.76} \cdot Tl-T0^{0.76} \cdot r0^{1.15} \cdot alpha^{0.45}},,,,,,,,
26,2,0.14483871085435157,-0.2538284513936117,0011,2,\frac{etaP^{0.03} \cdot cp^{1.01} \cdot Tl-T0^{1.01} \cdot r0^{0.87}}{Vs^{1.18} \cdot rho^{0.03} \cdot alpha^{0.93}},\frac{etaP^{0.8}}{Vs^{0.42} \cdot rho^{0.8} \cdot cp^{0.76} \cdot Tl-T0^{0.76} \cdot r0^{1.15} \cdot alpha^{0.45}},,,,,,,,
27,2,0.14525058423678852,-0.26690004570919856,1010,2,\frac{etaP^{0.91}}{Vs^{0.27} \cdot rho^{0.91} \cdot cp^{1.06} \cdot Tl-T0^{1.06} \cdot r0^{1.47} \cdot alpha^{0.34}},\frac{etaP^{0.4} \cdot cp^{0.2} \cdot Tl-T0^{0.2} \cdot r0^{0.2}}{Vs^{0.6} \cdot rho^{0.4} \cdot alpha^{1.0}},,,,,,,,
28,2,0.14597915063159503,-0.25258283808780335,0011,2,\frac{etaP^{0.04} \cdot cp^{1.0} \cdot Tl-T0^{1.0} \cdot r0^{0.82}}{Vs^{1.23} \cdot rho^{0.04} \cdot alpha^{0.91}},\frac{etaP^{0.8}}{Vs^{0.43} \cdot rho^{0.8} \cdot cp^{0.76} \cdot Tl-T0^{0.76} \cdot r0^{1.16} \cdot alpha^{0.43}},,,,,,,,
29,2,0.15123248612506268,-0.2765209206501739,1010,2,\frac{etaP^{0.91}}{Vs^{0.27} \cdot rho^{0.91} \cdot cp^{1.06} \cdot Tl-T0^{1.06} \cdot r0^{1.47} \cdot alpha^{0.34}},\frac{etaP^{0.37} \cdot cp^{0.21} \cdot Tl-T0^{0.21} \cdot r0^{0.27}}{Vs^{0.52} \cdot rho^{0.37} \cdot alpha^{1.01}},,,,,,,,
30,2,0.1515527718373373,-0.27714092065659235,1010,2,\frac{etaP^{0.91}}{Vs^{0.27} \cdot rho^{0.91} \cdot cp^{1.06} \cdot Tl-T0^{1.06} \cdot r0^{1.47} \cdot alpha^{0.34}},\frac{etaP^{0.37} \cdot cp^{0.21} \cdot Tl-T0^{0.21} \cdot r0^{0.27}}{Vs^{0.52} \cdot rho^{0.37} \cdot alpha^{1.02}},,,,,,,,
31,2,0.1526770046838578,-0.27768219546461825,1010,2,\frac{etaP^{0.91}}{Vs^{0.27} \cdot rho^{0.91} \cdot cp^{1.06} \cdot Tl-T0^{1.06} \cdot r0^{1.47} \cdot alpha^{0.34}},\frac{etaP^{0.36} \cdot cp^{0.21} \cdot Tl-T0^{0.21} \cdot r0^{0.26}}{Vs^{0.51} \cdot rho^{0.36} \cdot alpha^{0.98}},,,,,,,,
32,2,0.15755037135790215,-0.27599010050973305,1010,2,\frac{etaP^{0.9}}{Vs^{0.24} \cdot rho^{0.9} \cdot cp^{1.05} \cdot Tl-T0^{1.05} \cdot r0^{1.45} \cdot alpha^{0.34}},\frac{etaP^{0.37} \cdot cp^{0.17} \cdot Tl-T0^{0.17} \cdot r0^{0.25}}{Vs^{0.45} \cdot rho^{0.37} \cdot alpha^{0.99}},,,,,,,,
33,2,0.1579138903406911,-0.2834322849236361,1010,2,\frac{etaP^{0.9}}{Vs^{0.26} \cdot rho^{0.9} \cdot cp^{1.04} \cdot Tl-T0^{1.04} \cdot r0^{1.44} \cdot alpha^{0.36}},\frac{etaP^{0.34} \cdot cp^{0.23} \cdot Tl-T0^{0.23} \cdot r0^{0.38}}{Vs^{0.42} \cdot rho^{0.34} \cdot alpha^{1.06}},,,,,,,,
