Variable,w1,w2,w3
p1,0.2591291053410438,0.26493516423425867,0.17744336024691904
p2,0.37573720274451344,0.05887448094094637,0.1419546881975352
p3,0.8033002265572357,0.7064937712913565,0.7807507850864437
p4,0.18139037373873063,0.5298703284685173,0.35488672049383807
p5,0.3368678369433569,0.0,0.0
p6,0.0,-0.38268412611615144,0.0
p7,0.0,0.0,0.46135273664198945
