solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
11,3,0.537990280246394,-0.06708334803257665,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.61} \cdot Muw^{0.16} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.21}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.35} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.33} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.14}},,,,,,,
12,3,0.5379902802463944,-0.06708334803257654,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.61} \cdot Muw^{0.16} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.21}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.35} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.33} \cdot Muw^{0.32}}{Y1^{0.14} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.14}},,,,,,,
13,3,0.5398930347592807,-0.06988915329444623,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
14,3,0.5399031639789059,-0.06990148046473921,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.03} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
15,3,0.5407459350342172,-0.0675894212455912,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.61} \cdot Muw^{0.16} \cdot Utau^{0.05}}{Rho1^{0.56} \cdot Mu1^{0.2}},\frac{Y1^{0.08} \cdot Rhow^{1.1} \cdot Muw^{0.36} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.44}},\frac{Rhow^{0.32} \cdot Muw^{0.32}}{Y1^{0.15} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.15}},,,,,,,
16,3,0.5412396379916814,-0.06794535959461878,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.61} \cdot Muw^{0.16} \cdot Utau^{0.05}}{Rho1^{0.56} \cdot Mu1^{0.2}},\frac{Y1^{0.08} \cdot Rhow^{1.1} \cdot Muw^{0.36} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.45}},\frac{Rhow^{0.32} \cdot Muw^{0.32}}{Y1^{0.15} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.15}},,,,,,,
17,3,0.5418632163433137,-0.07011797808402864,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.61} \cdot Muw^{0.14} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.19}},\frac{Y1^{0.08} \cdot Rhow^{1.1} \cdot Muw^{0.36} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.44}},\frac{Rhow^{0.32} \cdot Muw^{0.32}}{Y1^{0.15} \cdot Rho1^{0.47} \cdot Mu1^{0.17} \cdot Utau^{0.15}},,,,,,,
18,3,0.5431542638122825,-0.07165038501674525,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.1} \cdot Muw^{0.36} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.45}},\frac{Rhow^{0.3} \cdot Muw^{0.31}}{Y1^{0.15} \cdot Rho1^{0.45} \cdot Mu1^{0.16} \cdot Utau^{0.15}},,,,,,,
19,3,0.5433860937887979,-0.07123162766793589,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.43}},\frac{Rhow^{0.3} \cdot Muw^{0.31}}{Y1^{0.15} \cdot Rho1^{0.45} \cdot Mu1^{0.16} \cdot Utau^{0.15}},,,,,,,
20,3,0.5449863327332239,-0.07287447920912538,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
21,3,0.5453450998328881,-0.07324951806061808,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.3} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
22,3,0.5454693219422019,-0.07358210684571431,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
23,3,0.545628118111154,-0.07359662609798656,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
24,3,0.5456281403245133,-0.07359663079561418,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
25,3,0.5456281403245139,-0.07359663079561429,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
26,3,0.5456896237520984,-0.07361236713788788,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
27,3,0.5456999877695257,-0.07364220462310722,111,3,\frac{Y1^{0.05} \cdot Rhow^{0.62} \cdot Muw^{0.12} \cdot Utau^{0.05}}{Rho1^{0.57} \cdot Mu1^{0.17}},\frac{Y1^{0.08} \cdot Rhow^{1.11} \cdot Muw^{0.34} \cdot Utau^{0.08}}{Rho1^{1.02} \cdot Mu1^{0.42}},\frac{Rhow^{0.31} \cdot Muw^{0.27}}{Y1^{0.15} \cdot Rho1^{0.46} \cdot Mu1^{0.12} \cdot Utau^{0.15}},,,,,,,
