algorithm,dataset,number of dimensions,Best_Individual_MSE,Best_Individual_R2,Feature_Importances,Baseline_MSE,Baseline_R2,analysis_runtime_sec,config_file,method_name,noise_name,x_noise_frac,y_noise_frac,noise_seed
PyDimension,dataset_keyhole.csv,,2.163897142026807,0.6795559216700053,[1.0],1.0490715857667725,0.84464660039786,5.866506338119507,./configs/Keyhole/config.json,PyDimension_run,x_1pct,0.01,0.0,43
PyDimension,MHD_Generator_Data_Uavg.csv,,2371521.6369529148,0.9689030794618817,[1.0],15192249.791306488,0.8007894268413616,26.082703828811646,./configs/MHD/config.json,PyDimension_run,x_1pct,0.01,0.0,43
PyDimension,mat/inv_transf.mat,,26.736345089288694,0.5727846558739353,[1.0],0.9357334053377458,0.9850480809012383,61.813308000564575,./configs/Velocity_transformation/config.json,PyDimension_run,x_1pct,0.01,0.0,43
TI_PI,chf_public.csv,3.0,2164105.823398016,-0.00017852131435369678,[0. 0. 0.],35594.775344915884,0.9835492657585965,182.6102430820465,./configs/CHF/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,rayleigh_data.csv,1.0,0.04470540935791448,0.509475784426727,[1.],9.213902044992832e-05,0.9989890167346854,27.18041205406189,./configs/Rayleigh/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,dataset-GS1-GS10.txt,2.0,12.061243912048145,-0.33518925871402816,[0.50219013 0.49780987],0.05243806283172409,0.9941950648912132,176.31057953834534,./configs/Wall_model/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,dataset_keyhole.csv,1.0,6.251995798769848,0.07416346528222217,[1.],1.0490715857667725,0.84464660039786,12.670214176177979,./configs/Keyhole/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,98956638.29317558,-0.2975832350726708,[1.],15192249.791306488,0.8007894268413616,51.01113176345825,./configs/MHD/config.json,TI_PI_run,x_1pct,0.01,0.0,43
TI_PI,mat/inv_transf.mat,1.0,38.70306625555613,0.38157052828714855,[1.],0.9357334053377458,0.9850480809012383,22.01419949531555,./configs/Velocity_transformation/config.json,TI_PI_run,x_1pct,0.01,0.0,43
DEA,chf_public.csv,1.0,358190.58479455113,0.7091529621627366,[0. 0. 0. 1.],54729.76640318316,0.9747057023546726,62.263484954833984,./configs/CHF/config.json,DEA_run,x_5pct,0.05,0.0,44
DEA,rayleigh_data.csv,1.0,0.001599158309619531,0.9807761294818889,[1. 0.],0.000734876913444659,0.9919366598653786,33.99908471107483,./configs/Rayleigh/config.json,DEA_run,x_5pct,0.05,0.0,44
DEA,dataset-GS1-GS10.txt,2.0,0.22901569894079,0.9749967706390302,[0.2191436 0.7808564],0.06043028425699448,0.9933103196461871,72.62826108932495,./configs/Wall_model/config.json,DEA_run,x_5pct,0.05,0.0,44
DEA,dataset_keyhole.csv,2.0,0.37558563886804125,0.944380815731231,[0.         0.94205336 0.05794664 0.        ],0.9643097555288436,0.8571986880367003,70.54368305206299,./configs/Keyhole/config.json,DEA_run,x_5pct,0.05,0.0,44
DEA,MHD_Generator_Data_Uavg.csv,2.0,13750985.953630794,0.8245396650788797,[0.         0.84033045 0.         0.15966955],13955222.598357154,0.81701012486209,72.352454662323,./configs/MHD/config.json,DEA_run,x_5pct,0.05,0.0,44
DEA,mat/inv_transf.mat,1.0,23.114333136854174,0.5553358319396262,[0. 1. 0.],2.9484442084878255,0.9528873298515934,34.445332527160645,./configs/Velocity_transformation/config.json,DEA_run,x_5pct,0.05,0.0,44
PyDimension,chf_public.csv,,1133151.301266736,0.47629474461334764,"[0.18933641028226272, 0.1306371587078767, 0.6800264310098606]",54729.76640318316,0.9747057023546726,735.4704258441925,./configs/CHF/config.json,PyDimension_run,x_5pct,0.05,0.0,44
PyDimension,rayleigh_data.csv,,0.000902506963158082,0.9900973612251655,[1.0],0.000734876913444659,0.9919366598653786,102.74159979820251,./configs/Rayleigh/config.json,PyDimension_run,x_5pct,0.05,0.0,44
PyDimension,dataset-GS1-GS10.txt,,0.7326986941516316,0.9188896739474919,"[0.010501795636354928, 0.9894982043636451]",0.06043028425699448,0.9933103196461871,211.89648246765137,./configs/Wall_model/config.json,PyDimension_run,x_5pct,0.05,0.0,44
PyDimension,dataset_keyhole.csv,,1.8410472179721877,0.7273656554800376,[1.0],0.9643097555288436,0.8571986880367003,5.966432094573975,./configs/Keyhole/config.json,PyDimension_run,x_5pct,0.05,0.0,44
PyDimension,MHD_Generator_Data_Uavg.csv,,4354043.735307597,0.9429069716478237,[1.0],13955222.598357154,0.81701012486209,26.279410362243652,./configs/MHD/config.json,PyDimension_run,x_5pct,0.05,0.0,44
PyDimension,mat/inv_transf.mat,,55.975541804604966,0.10557668690932365,[1.0],2.9484442084878255,0.9528873298515934,63.178274393081665,./configs/Velocity_transformation/config.json,PyDimension_run,x_5pct,0.05,0.0,44
TI_PI,chf_public.csv,3.0,2164105.823398016,-0.00017852131435369678,[0. 0. 0.],54729.76640318316,0.9747057023546726,126.2745943069458,./configs/CHF/config.json,TI_PI_run,x_5pct,0.05,0.0,44
TI_PI,rayleigh_data.csv,1.0,0.05391703014054748,0.4084024887460205,[1.],0.000734876913444659,0.9919366598653786,27.051908254623413,./configs/Rayleigh/config.json,TI_PI_run,x_5pct,0.05,0.0,44
TI_PI,dataset-GS1-GS10.txt,2.0,12.433345736690296,-0.37638122556529163,[0.51088345 0.48911655],0.06043028425699448,0.9933103196461871,126.39802050590515,./configs/Wall_model/config.json,TI_PI_run,x_5pct,0.05,0.0,44
TI_PI,dataset_keyhole.csv,1.0,6.193960743356481,0.08275767684689361,[1.],0.9643097555288436,0.8571986880367003,16.791658639907837,./configs/Keyhole/config.json,TI_PI_run,x_5pct,0.05,0.0,44
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,72194888.98400311,0.05333407420292757,[1.],13955222.598357154,0.81701012486209,27.324127674102783,./configs/MHD/config.json,TI_PI_run,x_5pct,0.05,0.0,44
TI_PI,mat/inv_transf.mat,1.0,50.58539223688666,0.19170493648021503,[1.],2.9484442084878255,0.9528873298515934,22.189610958099365,./configs/Velocity_transformation/config.json,TI_PI_run,x_5pct,0.05,0.0,44
DEA,chf_public.csv,2.0,340552.86952847464,0.30546809505696737,[0.31523377 0.         0.         0.68476623],82144.52779466065,0.9620355014734328,60.22553730010986,./configs/CHF/config.json,DEA_run,x_10pct,0.1,0.0,45
DEA,rayleigh_data.csv,1.0,0.0034481217610826662,0.9568796326859221,[0. 1.],0.001760038543529936,0.9806882089137854,34.99355626106262,./configs/Rayleigh/config.json,DEA_run,x_10pct,0.1,0.0,45
DEA,dataset-GS1-GS10.txt,1.0,0.6662815738076593,0.9307881368891752,[0. 1.],0.13543003585241012,0.9850077877127776,67.35491371154785,./configs/Wall_model/config.json,DEA_run,x_10pct,0.1,0.0,45
DEA,dataset_keyhole.csv,2.0,0.5003511592864932,0.9259047193302692,[0.93208173 0.06791827 0.         0.        ],0.6173165027761536,0.9085837242778014,66.45878076553345,./configs/Keyhole/config.json,DEA_run,x_10pct,0.1,0.0,45
DEA,MHD_Generator_Data_Uavg.csv,2.0,16675263.806249566,0.8134786224221271,[0.         0.94785653 0.         0.05214347],10891324.09092624,0.8571859372762908,69.68928384780884,./configs/MHD/config.json,DEA_run,x_10pct,0.1,0.0,45
DEA,mat/inv_transf.mat,2.0,21.643296378682038,0.531964865259939,[0.29520259 0.70479741 0.        ],3.20373160514771,0.9488081375517157,37.72399568557739,./configs/Velocity_transformation/config.json,DEA_run,x_10pct,0.1,0.0,45
PyDimension,chf_public.csv,,1212890.7529632745,0.4394417931421324,"[0.11971196656046693, 0.45554073762319003, 0.424747295816343]",82144.52779466065,0.9620355014734328,727.301372051239,./configs/CHF/config.json,PyDimension_run,x_10pct,0.1,0.0,45
PyDimension,rayleigh_data.csv,,0.0025473310694667517,0.97204974537529,[1.0],0.001760038543529936,0.9806882089137854,105.6984510421753,./configs/Rayleigh/config.json,PyDimension_run,x_10pct,0.1,0.0,45
PyDimension,dataset-GS1-GS10.txt,,1.3014565888697927,0.8559277243033164,"[0.02048025999905767, 0.9795197400009423]",0.13543003585241012,0.9850077877127776,203.89945888519287,./configs/Wall_model/config.json,PyDimension_run,x_10pct,0.1,0.0,45
PyDimension,dataset_keyhole.csv,,3.0732465549384047,0.5448934976384066,[1.0],0.6173165027761536,0.9085837242778014,6.692410230636597,./configs/Keyhole/config.json,PyDimension_run,x_10pct,0.1,0.0,45
PyDimension,MHD_Generator_Data_Uavg.csv,,13789402.104162876,0.8191844700804523,[1.0],10891324.09092624,0.8571859372762908,33.97916650772095,./configs/MHD/config.json,PyDimension_run,x_10pct,0.1,0.0,45
PyDimension,mat/inv_transf.mat,,63.80231913910074,-0.019486008129508958,[1.0],3.20373160514771,0.9488081375517157,61.04935812950134,./configs/Velocity_transformation/config.json,PyDimension_run,x_10pct,0.1,0.0,45
TI_PI,chf_public.csv,3.0,2164105.823398016,-0.00017852131435369678,[0. 0. 0.],82144.52779466065,0.9620355014734328,127.04038429260254,./configs/CHF/config.json,TI_PI_run,x_10pct,0.1,0.0,45
TI_PI,rayleigh_data.csv,1.0,0.059684619189445155,0.34511837761510045,[1.],0.001760038543529936,0.9806882089137854,26.907356023788452,./configs/Rayleigh/config.json,TI_PI_run,x_10pct,0.1,0.0,45
TI_PI,dataset-GS1-GS10.txt,2.0,12.625283926652747,-0.39762893529105914,[0.50179907 0.49820093],0.13543003585241012,0.9850077877127776,127.42326951026917,./configs/Wall_model/config.json,TI_PI_run,x_10pct,0.1,0.0,45
TI_PI,dataset_keyhole.csv,1.0,8.304766927165133,-0.2298243442515182,[1.],0.6173165027761536,0.9085837242778014,8.926122188568115,./configs/Keyhole/config.json,TI_PI_run,x_10pct,0.1,0.0,45
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,89585325.40533267,-0.17470053914014305,[1.],10891324.09092624,0.8571859372762908,27.56560492515564,./configs/MHD/config.json,TI_PI_run,x_10pct,0.1,0.0,45
TI_PI,mat/inv_transf.mat,1.0,50.221446221629385,0.19752036568836573,[1.],3.20373160514771,0.9488081375517157,21.892564296722412,./configs/Velocity_transformation/config.json,TI_PI_run,x_10pct,0.1,0.0,45
DEA,chf_public.csv,3.0,124669.62548416515,0.7406961291356564,[0.13954336 0.         0.39653262 0.46392402],31998.001638163205,0.9852164456134589,63.60207557678223,./configs/CHF/config.json,DEA_run,y_1pct,0.0,0.01,46
DEA,rayleigh_data.csv,2.0,4.580462909843942e-05,0.9993463938803798,[0.00275572 0.99724428],3.7342593912524645e-05,0.9995901116959378,36.17362833023071,./configs/Rayleigh/config.json,DEA_run,y_1pct,0.0,0.01,46
DEA,dataset-GS1-GS10.txt,2.0,0.11521372994130306,0.9872560163493563,[0.17938831 0.82061169],0.033788647348452515,0.996262581121144,72.84425950050354,./configs/Wall_model/config.json,DEA_run,y_1pct,0.0,0.01,46
DEA,dataset_keyhole.csv,2.0,0.2976193435055092,0.9561153936078512,[0.57486771 0.42513229 0.         0.        ],0.3361512277431339,0.9504337851700425,66.4621856212616,./configs/Keyhole/config.json,DEA_run,y_1pct,0.0,0.01,46
DEA,MHD_Generator_Data_Uavg.csv,1.0,2383480.8916879697,0.9687821417149989,[0. 1. 0. 0.],15271084.60432524,0.799985577103381,63.92316389083862,./configs/MHD/config.json,DEA_run,y_1pct,0.0,0.01,46
DEA,mat/inv_transf.mat,2.0,0.12110998007630754,0.9978276288993808,[0.85196836 0.14803164 0.        ],0.08686331382558857,0.9986112673470083,33.44470024108887,./configs/Velocity_transformation/config.json,DEA_run,y_1pct,0.0,0.01,46
PyDimension,chf_public.csv,,843060.4688996556,0.6104934791222688,"[0.07178826995343981, 0.24992157079975924, 0.6782901592468009]",31998.001638163205,0.9852164456134589,713.9034111499786,./configs/CHF/config.json,PyDimension_run,y_1pct,0.0,0.01,46
PyDimension,rayleigh_data.csv,,1.2843349412294483e-05,0.9998590258962349,[1.0],3.7342593912524645e-05,0.9995901116959378,112.09554648399353,./configs/Rayleigh/config.json,PyDimension_run,y_1pct,0.0,0.01,46
PyDimension,dataset-GS1-GS10.txt,,0.4276605983427785,0.9526957448901144,"[0.021127608807244815, 0.9788723911927552]",0.033788647348452515,0.996262581121144,200.78908014297485,./configs/Wall_model/config.json,PyDimension_run,y_1pct,0.0,0.01,46
PyDimension,dataset_keyhole.csv,,2.133946514611714,0.6853450392282745,[1.0],0.3361512277431339,0.9504337851700425,5.923567533493042,./configs/Keyhole/config.json,PyDimension_run,y_1pct,0.0,0.01,46
PyDimension,MHD_Generator_Data_Uavg.csv,,2347713.929310713,0.9692506027656714,[1.0],15271084.60432524,0.799985577103381,25.855189561843872,./configs/MHD/config.json,PyDimension_run,y_1pct,0.0,0.01,46
PyDimension,mat/inv_transf.mat,,50.525001237745485,0.19222838824470123,[1.0],0.08686331382558857,0.9986112673470083,87.26337552070618,./configs/Velocity_transformation/config.json,PyDimension_run,y_1pct,0.0,0.01,46
TI_PI,chf_public.csv,3.0,2164804.051334307,-0.0001717854447342848,[0. 0. 0.],31998.001638163205,0.9852164456134589,287.0621464252472,./configs/CHF/config.json,TI_PI_run,y_1pct,0.0,0.01,46
TI_PI,rayleigh_data.csv,1.0,0.09130917012176386,-0.0022485576176975997,[0.],3.7342593912524645e-05,0.9995901116959378,21.422987461090088,./configs/Rayleigh/config.json,TI_PI_run,y_1pct,0.0,0.01,46
TI_PI,dataset-GS1-GS10.txt,2.0,14.327198389845908,-0.5847554118137206,[0.49708245 0.50291755],0.033788647348452515,0.996262581121144,166.0297131538391,./configs/Wall_model/config.json,TI_PI_run,y_1pct,0.0,0.01,46
TI_PI,dataset_keyhole.csv,1.0,5.633200946747831,0.16937251670494358,[1.],0.3361512277431339,0.9504337851700425,10.14054250717163,./configs/Keyhole/config.json,TI_PI_run,y_1pct,0.0,0.01,46
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,100817076.34132786,-0.32046084904956595,[1.],15271084.60432524,0.799985577103381,38.66194772720337,./configs/MHD/config.json,TI_PI_run,y_1pct,0.0,0.01,46
