algorithm,dataset,number of dimensions,Best_Individual_MSE,Best_Individual_R2,Feature_Importances,Baseline_MSE,Baseline_R2,analysis_runtime_sec,config_file,method_name
DEA,chf_public.csv,3.0,67772.26641212997,0.8984441123893255,[0.2210121  0.14834235 0.         0.63064555],31957.046348093405,0.985230504434472,88.76684069633484,./configs/CHF/config.json,DEA_run
DEA,rayleigh_data.csv,2.0,1.994449724318862e-05,0.9997160312205123,[0.01217458 0.98782542],2.3050359639136723e-05,0.9997470829650581,31.967248916625977,./configs/Rayleigh/config.json,DEA_run
DEA,dataset-GS1-GS10.txt,2.0,0.17074247029370454,0.9810986732376146,[0.98499427 0.01500573],0.03318614533042138,0.9963262674143386,72.23522305488586,./configs/Wall_model/config.json,DEA_run
DEA,dataset_keyhole.csv,2.0,0.2270776878457475,0.9663728469446191,[0.93137273 0.         0.06862727 0.        ],0.33111908606892415,0.9509657144546882,60.78982710838318,./configs/Keyhole/config.json,DEA_run
DEA,MHD_Generator_Data_Uavg.csv,1.0,2298512.137792548,0.969860427081461,[1. 0. 0. 0.],15164221.87460761,0.8011569469537033,61.067739725112915,./configs/MHD/config.json,DEA_run
DEA,mat/inv_transf.mat,2.0,0.05974951229958068,0.9989288412991969,[0.         0.85906733 0.14093267],0.075566789003556,0.9987925316021752,32.89622116088867,./configs/Velocity_transformation/config.json,DEA_run
PyDimension,chf_public.csv,,841746.9213308552,0.6109722630034413,"[0.07154589362893134, 0.2491512032797206, 0.679302903091348]",31957.046348093405,0.985230504434472,747.0373480319977,./configs/CHF/config.json,PyDimension_run
PyDimension,rayleigh_data.csv,,1.3927433757689718e-07,0.9999984718306761,[1.0],2.3050359639136723e-05,0.9997470829650581,107.39698314666748,./configs/Rayleigh/config.json,PyDimension_run
PyDimension,dataset-GS1-GS10.txt,,0.3995498085429866,0.9557695195804019,"[0.02091874993821933, 0.9790812500617807]",0.03318614533042138,0.9963262674143386,207.5741515159607,./configs/Wall_model/config.json,PyDimension_run
PyDimension,dataset_keyhole.csv,,2.1030352171748334,0.6885687545980589,[1.0],0.33111908606892415,0.9509657144546882,6.238189697265625,./configs/Keyhole/config.json,PyDimension_run
PyDimension,MHD_Generator_Data_Uavg.csv,,2318909.2156465715,0.9695929674473792,[1.0],15164221.87460761,0.8011569469537033,26.856706380844116,./configs/MHD/config.json,PyDimension_run
PyDimension,mat/inv_transf.mat,,49.12280678832083,0.2150753314850713,[1.0],0.075566789003556,0.9987925316021752,65.11596369743347,./configs/Velocity_transformation/config.json,PyDimension_run
TI_PI,chf_public.csv,3.0,2164105.823398016,-0.00017852131435369678,[0. 0. 0.],31957.046348093405,0.985230504434472,287.64850974082947,./configs/CHF/config.json,TI_PI_run
TI_PI,rayleigh_data.csv,1.0,0.09134607337692296,-0.002282758003226526,[0.],2.3050359639136723e-05,0.9997470829650581,33.747539043426514,./configs/Rayleigh/config.json,TI_PI_run
TI_PI,dataset-GS1-GS10.txt,2.0,14.324117855348236,-0.5856911973988146,[0.50697218 0.49302782],0.03318614533042138,0.9963262674143386,160.65173864364624,./configs/Wall_model/config.json,TI_PI_run
TI_PI,dataset_keyhole.csv,1.0,5.651122110543196,0.1631447812038217,[1.],0.33111908606892415,0.9509657144546882,10.746792078018188,./configs/Keyhole/config.json,TI_PI_run
TI_PI,MHD_Generator_Data_Uavg.csv,1.0,100603133.82371087,-0.3191731459052827,[1.],15164221.87460761,0.8011569469537033,36.44339394569397,./configs/MHD/config.json,TI_PI_run
TI_PI,mat/inv_transf.mat,1.0,34.141506598378875,0.4544588857714812,[1.],0.075566789003556,0.9987925316021752,14.837629556655884,./configs/Velocity_transformation/config.json,TI_PI_run
