solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
10,2,0.18776966426697791,-0.537296662598032,11,2,\frac{y^{0.72} \cdot u^{1.22} \cdot ρ^{0.98} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.3} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.47} \cdot T_w^{1.04} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.21} \cdot ES^{0.56}}{y^{0.62} \cdot T^{0.91} \cdot μ^{0.57} \cdot R_a^{0.13}},,,,,,,,,1
11,2,0.1877743153805314,-0.5407159636383062,11,2,\frac{y^{0.72} \cdot u^{1.22} \cdot ρ^{0.98} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.06}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.3} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.47} \cdot T_w^{1.05} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.22} \cdot ES^{0.55}}{y^{0.63} \cdot T^{0.92} \cdot μ^{0.57} \cdot R_a^{0.13}},,,,,,,,,1
12,2,0.18881361670070007,-0.5407877147311507,11,2,\frac{y^{0.72} \cdot u^{1.22} \cdot ρ^{0.97} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.3} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.46} \cdot T_w^{1.05} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.22} \cdot ES^{0.56}}{y^{0.63} \cdot T^{0.92} \cdot μ^{0.57} \cdot R_a^{0.13}},,,,,,,,,1
13,2,0.18976479415926348,-0.5445222524778847,11,2,\frac{y^{0.72} \cdot u^{1.23} \cdot ρ^{0.97} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.06}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.3} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.46} \cdot T_w^{1.01} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.21} \cdot ES^{0.57}}{y^{0.63} \cdot T^{0.88} \cdot μ^{0.57} \cdot R_a^{0.13}},,,,,,,,,1
14,2,0.19163223432045737,-0.5491595455007825,11,2,\frac{y^{0.72} \cdot u^{1.23} \cdot ρ^{0.98} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.31} \cdot R_a^{1.57}},\frac{u^{0.2} \cdot ρ^{0.44} \cdot T_w^{1.0} \cdot κ^{0.1} \cdot c_p^{0.02} \cdot k_rms^{1.22} \cdot ES^{0.56}}{y^{0.64} \cdot T^{0.88} \cdot μ^{0.55} \cdot R_a^{0.13}},,,,,,,,,1
15,2,0.19180801230860398,-0.5494895287920897,11,2,\frac{y^{0.72} \cdot u^{1.23} \cdot ρ^{0.98} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.83} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.67} \cdot κ^{0.31} \cdot R_a^{1.57}},\frac{u^{0.2} \cdot ρ^{0.44} \cdot T_w^{1.0} \cdot κ^{0.1} \cdot c_p^{0.02} \cdot k_rms^{1.21} \cdot ES^{0.57}}{y^{0.64} \cdot T^{0.88} \cdot μ^{0.55} \cdot R_a^{0.13}},,,,,,,,,1
16,2,0.22033558438675002,-0.5598124503383706,11,2,\frac{y^{0.74} \cdot u^{1.32} \cdot ρ^{1.0} \cdot T_w^{0.15} \cdot c_p^{0.21} \cdot k_rms^{1.83} \cdot ES^{0.12}}{T^{0.31} \cdot μ^{0.64} \cdot κ^{0.37} \cdot R_a^{1.57}},\frac{u^{0.2} \cdot ρ^{0.46} \cdot T_w^{1.05} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.21} \cdot ES^{0.06}}{y^{0.63} \cdot T^{0.92} \cdot μ^{0.57} \cdot R_a^{0.12}},,,,,,,,,1
17,2,0.22097980298834405,-0.560509751038823,11,2,\frac{y^{0.7} \cdot u^{1.2} \cdot ρ^{0.93} \cdot T_w^{0.16} \cdot c_p^{0.18} \cdot k_rms^{1.81} \cdot ES^{0.07}}{T^{0.29} \cdot μ^{0.61} \cdot κ^{0.32} \cdot R_a^{1.59}},\frac{u^{0.29} \cdot ρ^{0.49} \cdot T_w^{0.99} \cdot κ^{0.06} \cdot c_p^{0.04} \cdot k_rms^{1.18} \cdot ES^{0.56}}{y^{0.65} \cdot T^{0.9} \cdot μ^{0.54} \cdot R_a^{0.04}},,,,,,,,,1
18,2,0.2235948890221754,-0.5649456737237034,11,2,\frac{y^{0.7} \cdot u^{1.2} \cdot ρ^{0.93} \cdot T_w^{0.16} \cdot c_p^{0.19} \cdot k_rms^{1.81} \cdot ES^{0.07}}{T^{0.3} \cdot μ^{0.6} \cdot κ^{0.32} \cdot R_a^{1.59}},\frac{u^{0.21} \cdot ρ^{0.46} \cdot T_w^{1.01} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.2} \cdot ES^{0.56}}{y^{0.61} \cdot T^{0.88} \cdot μ^{0.57} \cdot R_a^{0.12}},,,,,,,,,1
19,2,0.22915172298604464,-0.5654945789597066,11,2,\frac{y^{0.74} \cdot u^{1.33} \cdot ρ^{1.01} \cdot T_w^{0.15} \cdot c_p^{0.22} \cdot k_rms^{1.84} \cdot ES^{0.07}}{T^{0.31} \cdot μ^{0.64} \cdot κ^{0.37} \cdot R_a^{1.57}},\frac{u^{0.21} \cdot ρ^{0.46} \cdot T_w^{1.04} \cdot κ^{0.11} \cdot c_p^{0.02} \cdot k_rms^{1.21} \cdot ES^{0.06}}{y^{0.63} \cdot T^{0.91} \cdot μ^{0.57} \cdot R_a^{0.12}},,,,,,,,,1
