y,nu,U,t,u
0.0,0.006688152489317449,0.739827784849302,5.0,1.0
0.0,0.006688152489317449,0.739827784849302,5.2631578947368425,1.0
0.0,0.006688152489317449,0.739827784849302,5.526315789473684,1.0
0.0,0.006688152489317449,0.739827784849302,5.7894736842105265,1.0
0.0,0.006688152489317449,0.739827784849302,6.052631578947368,1.0
0.0,0.006688152489317449,0.739827784849302,6.315789473684211,1.0
0.0,0.006688152489317449,0.739827784849302,6.578947368421053,1.0
0.0,0.006688152489317449,0.739827784849302,6.842105263157895,1.0
0.0,0.006688152489317449,0.739827784849302,7.105263157894736,1.0
0.0,0.006688152489317449,0.739827784849302,7.368421052631579,1.0
0.0,0.006688152489317449,0.739827784849302,7.631578947368421,1.0
0.0,0.006688152489317449,0.739827784849302,7.894736842105263,1.0
0.0,0.006688152489317449,0.739827784849302,8.157894736842106,1.0
0.0,0.006688152489317449,0.739827784849302,8.421052631578947,1.0
0.0,0.006688152489317449,0.739827784849302,8.68421052631579,1.0
0.0,0.006688152489317449,0.739827784849302,8.947368421052632,1.0
0.0,0.006688152489317449,0.739827784849302,9.210526315789473,1.0
0.0,0.006688152489317449,0.739827784849302,9.473684210526315,1.0
0.0,0.006688152489317449,0.739827784849302,9.736842105263158,1.0
0.0,0.006688152489317449,0.739827784849302,10.0,1.0
0.05263157894736842,0.006688152489317449,0.739827784849302,5.0,0.8387336611041548
0.05263157894736842,0.006688152489317449,0.739827784849302,5.2631578947368425,0.8427630468884365
0.05263157894736842,0.006688152489317449,0.739827784849302,5.526315789473684,0.8465047654287009
0.05263157894736842,0.006688152489317449,0.739827784849302,5.7894736842105265,0.8499914912022516
0.05263157894736842,0.006688152489317449,0.739827784849302,6.052631578947368,0.8532509285489741
0.05263157894736842,0.006688152489317449,0.739827784849302,6.315789473684211,0.8563067432200341
0.05263157894736842,0.006688152489317449,0.739827784849302,6.578947368421053,0.859179289056489
0.05263157894736842,0.006688152489317449,0.739827784849302,6.842105263157895,0.8618861809991877
0.05263157894736842,0.006688152489317449,0.739827784849302,7.105263157894736,0.8644427514128404
0.05263157894736842,0.006688152489317449,0.739827784849302,7.368421052631579,0.8668624168038317
0.05263157894736842,0.006688152489317449,0.739827784849302,7.631578947368421,0.8691569750099705
0.05263157894736842,0.006688152489317449,0.739827784849302,7.894736842105263,0.8713368479222026
0.05263157894736842,0.006688152489317449,0.739827784849302,8.157894736842106,0.8734112811557462
0.05263157894736842,0.006688152489317449,0.739827784849302,8.421052631578947,0.8753885094128466
0.05263157894736842,0.006688152489317449,0.739827784849302,8.68421052631579,0.8772758942930068
0.05263157894736842,0.006688152489317449,0.739827784849302,8.947368421052632,0.8790800398166728
0.05263157894736842,0.006688152489317449,0.739827784849302,9.210526315789473,0.8808068898002084
0.05263157894736842,0.006688152489317449,0.739827784849302,9.473684210526315,0.8824618103581596
0.05263157894736842,0.006688152489317449,0.739827784849302,9.736842105263158,0.8840496601449207
0.05263157894736842,0.006688152489317449,0.739827784849302,10.0,0.8855748504324829
0.10526315789473684,0.006688152489317449,0.739827784849302,5.0,0.6839880941071148
0.10526315789473684,0.006688152489317449,0.739827784849302,5.2631578947368425,0.6915732636526493
0.10526315789473684,0.006688152489317449,0.739827784849302,5.526315789473684,0.6986377717267893
0.10526315789473684,0.006688152489317449,0.739827784849302,5.7894736842105265,0.7052385224188942
0.10526315789473684,0.006688152489317449,0.739827784849302,6.052631578947368,0.7114240855361802
0.10526315789473684,0.006688152489317449,0.739827784849302,6.315789473684211,0.7172362015926899
