solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
21,3,84840.05812446326,-0.16960948882788218,0111,3,\frac{l^{3.19} \cdot \rho^{1.06} \cdot dp_dx^{1.06}}{\mu^{2.13}},\frac{l^{3.99} \cdot \rho^{0.77} \cdot dp_dx^{0.77} \cdot B^{1.67}}{\mu^{2.38} \cdot \eta^{0.83}},\frac{l^{0.14} \cdot \mu^{0.08} \cdot B^{1.04}}{\rho^{0.3} \cdot \eta^{0.52} \cdot dp_dx^{0.3}},,,,,,,
22,3,84840.05812446354,-0.16960948882788224,0111,3,\frac{l^{3.19} \cdot \rho^{1.06} \cdot dp_dx^{1.06}}{\mu^{2.13}},\frac{l^{3.99} \cdot \rho^{0.77} \cdot dp_dx^{0.77} \cdot B^{1.67}}{\mu^{2.38} \cdot \eta^{0.83}},\frac{l^{0.14} \cdot \mu^{0.08} \cdot B^{1.04}}{\rho^{0.3} \cdot \eta^{0.52} \cdot dp_dx^{0.3}},,,,,,,
23,3,97354.85230356616,-0.17242354318259176,0111,3,\frac{l^{2.98} \cdot \rho^{1.0} \cdot \eta^{0.01} \cdot dp_dx^{1.0}}{\mu^{1.99} \cdot B^{0.01}},\frac{l^{3.64} \cdot \rho^{0.66} \cdot dp_dx^{0.66} \cdot B^{1.65}}{\mu^{2.15} \cdot \eta^{0.82}},\frac{l^{0.11} \cdot \mu^{0.03} \cdot B^{0.65}}{\rho^{0.18} \cdot \eta^{0.33} \cdot dp_dx^{0.18}},,,,,,,
24,3,98055.48558846253,-0.17264864772775498,0111,3,\frac{l^{2.98} \cdot \rho^{1.0} \cdot \eta^{0.01} \cdot dp_dx^{1.0}}{\mu^{1.99} \cdot B^{0.01}},\frac{l^{3.63} \cdot \rho^{0.66} \cdot dp_dx^{0.66} \cdot B^{1.65}}{\mu^{2.15} \cdot \eta^{0.82}},\frac{l^{0.12} \cdot \mu^{0.03} \cdot B^{0.67}}{\rho^{0.18} \cdot \eta^{0.33} \cdot dp_dx^{0.18}},,,,,,,
25,3,101767.34509700285,-0.17696956149296797,0111,3,\frac{l^{3.19} \cdot \rho^{1.06} \cdot dp_dx^{1.06}}{\mu^{2.13}},\frac{l^{3.7} \cdot \rho^{0.68} \cdot dp_dx^{0.68} \cdot B^{1.66}}{\mu^{2.19} \cdot \eta^{0.83}},\frac{l^{0.27} \cdot B^{1.04}}{\mu^{0.01} \cdot \rho^{0.26} \cdot \eta^{0.52} \cdot dp_dx^{0.26}},,,,,,,
26,3,101821.6055935546,-0.17698096650207293,0111,3,\frac{l^{3.19} \cdot \rho^{1.06} \cdot dp_dx^{1.06}}{\mu^{2.13}},\frac{l^{3.7} \cdot \rho^{0.68} \cdot dp_dx^{0.68} \cdot B^{1.66}}{\mu^{2.19} \cdot \eta^{0.83}},\frac{l^{0.27} \cdot B^{1.04}}{\mu^{0.01} \cdot \rho^{0.26} \cdot \eta^{0.52} \cdot dp_dx^{0.26}},,,,,,,
27,3,106356.65725999509,-0.17839909490088754,0111,3,\frac{l^{2.98} \cdot \rho^{1.0} \cdot \eta^{0.01} \cdot dp_dx^{1.0}}{\mu^{1.99} \cdot B^{0.01}},\frac{l^{3.65} \cdot \rho^{0.65} \cdot dp_dx^{0.65} \cdot B^{1.71}}{\mu^{2.15} \cdot \eta^{0.85}},\frac{l^{0.11} \cdot \mu^{0.03} \cdot B^{0.65}}{\rho^{0.18} \cdot \eta^{0.33} \cdot dp_dx^{0.18}},,,,,,,
28,3,118423.17190800904,-0.19300256917310887,1011,3,\frac{l^{3.31} \cdot \rho^{1.04} \cdot dp_dx^{1.04} \cdot B^{0.2}}{\mu^{2.18} \cdot \eta^{0.1}},\frac{l^{4.36} \cdot \rho^{0.44} \cdot dp_dx^{0.44} \cdot B^{3.03}}{\mu^{2.4} \cdot \eta^{1.52}},\frac{l^{0.06} \cdot \rho^{0.46} \cdot \eta^{0.65} \cdot dp_dx^{0.46}}{\mu^{0.26} \cdot B^{1.3}},,,,,,,
29,3,118458.26245847052,-0.1930286642065811,1011,3,\frac{l^{3.31} \cdot \rho^{1.04} \cdot dp_dx^{1.04} \cdot B^{0.2}}{\mu^{2.18} \cdot \eta^{0.1}},\frac{l^{4.36} \cdot \rho^{0.44} \cdot dp_dx^{0.44} \cdot B^{3.03}}{\mu^{2.4} \cdot \eta^{1.52}},\frac{l^{0.06} \cdot \rho^{0.46} \cdot \eta^{0.65} \cdot dp_dx^{0.46}}{\mu^{0.26} \cdot B^{1.3}},,,,,,,
30,2,154056.42052556935,-0.21508506665068125,1001,2,\frac{l^{3.38} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.17}}{\mu^{2.23} \cdot \eta^{0.09}},\frac{\rho^{0.97} \cdot \eta^{1.6} \cdot dp_dx^{0.97}}{l^{0.28} \cdot \mu^{0.35} \cdot B^{3.21}},,,,,,,,
31,2,154928.09126573493,-0.2194529907270365,1001,2,\frac{l^{3.38} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.17}}{\mu^{2.23} \cdot \eta^{0.08}},\frac{\rho^{0.91} \cdot \eta^{1.6} \cdot dp_dx^{0.91}}{l^{0.49} \cdot \mu^{0.21} \cdot B^{3.21}},,,,,,,,
32,2,155210.55402759687,-0.21949293446921309,1001,2,\frac{l^{3.38} \cdot \rho^{1.07} \cdot dp_dx^{1.07} \cdot B^{0.17}}{\mu^{2.23} \cdot \eta^{0.08}},\frac{\rho^{0.91} \cdot \eta^{1.61} \cdot dp_dx^{0.91}}{l^{0.49} \cdot \mu^{0.21} \cdot B^{3.23}},,,,,,,,
33,1,159230.38484902438,-0.24918656833052388,1000,1,\frac{l^{3.3} \cdot \rho^{1.05} \cdot dp_dx^{1.05} \cdot B^{0.14}}{\mu^{2.17} \cdot \eta^{0.07}},,,,,,,,,
34,1,240616.21918080558,-0.24962282356353666,0100,1,\frac{l^{2.84} \cdot \rho^{0.93} \cdot dp_dx^{0.93} \cdot B^{0.05}}{\mu^{1.89} \cdot \eta^{0.02}},,,,,,,,,
35,2,445305.61043449887,-0.2593090690442581,1001,2,\frac{l^{3.32} \cdot \rho^{1.01} \cdot dp_dx^{1.01} \cdot B^{0.28}}{\mu^{2.17} \cdot \eta^{0.14}},\frac{l^{0.37} \cdot B^{0.51}}{\mu^{0.16} \cdot \rho^{0.05} \cdot \eta^{0.25} \cdot dp_dx^{0.05}},,,,,,,,
36,2,718748.1869998142,-0.2596523298158754,1001,2,\frac{l^{3.82} \cdot \rho^{1.16} \cdot dp_dx^{1.16} \cdot B^{0.33}}{\mu^{2.49} \cdot \eta^{0.16}},\frac{l^{0.4} \cdot B^{0.57}}{\mu^{0.17} \cdot \rho^{0.06} \cdot \eta^{0.28} \cdot dp_dx^{0.06}},,,,,,,,
37,2,719728.7411510143,-0.2606075644277235,1001,2,\frac{l^{3.82} \cdot \rho^{1.16} \cdot dp_dx^{1.16} \cdot B^{0.33}}{\mu^{2.49} \cdot \eta^{0.16}},\frac{l^{0.41} \cdot B^{0.57}}{\mu^{0.18} \cdot \rho^{0.05} \cdot \eta^{0.28} \cdot dp_dx^{0.05}},,,,,,,,
