solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10
26,4,435808.0576058891,-0.10383182747054723,1111,4,\frac{Tube Diameter^{4.22} \cdot Mass Flux^{7.82} \cdot Outlet Quality^{1.56} \cdot Inlet Subcooling^{2.86} \cdot g^{1.55}}{Heated Length^{2.68} \cdot Pressure^{6.82}},\frac{Mass Flux^{4.49} \cdot Inlet Subcooling^{9.83}}{Tube Diameter^{6.91} \cdot Heated Length^{0.17} \cdot Pressure^{3.49} \cdot Outlet Quality^{8.57} \cdot g^{7.08}},\frac{Heated Length^{1.46} \cdot Pressure^{2.49} \cdot Outlet Quality^{4.75} \cdot Inlet Subcooling^{0.08}}{Tube Diameter^{1.78} \cdot Mass Flux^{1.49} \cdot g^{0.33}},\frac{Tube Diameter^{0.62} \cdot Mass Flux^{2.1} \cdot Outlet Quality^{1.02} \cdot Inlet Subcooling^{2.74}}{Heated Length^{1.82} \cdot Pressure^{1.1} \cdot g^{1.19}},,,,,,
27,4,436937.21061461244,-0.05959337860022906,1111,4,\frac{Heated Length^{7.94} \cdot Pressure^{1.55} \cdot g^{0.52}}{Tube Diameter^{7.41} \cdot Mass Flux^{0.55} \cdot Outlet Quality^{0.38} \cdot Inlet Subcooling^{0.3}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.55} \cdot g^{7.28}},\frac{Tube Diameter^{6.95} \cdot Pressure^{1.08} \cdot Outlet Quality^{5.14} \cdot g^{4.68}}{Heated Length^{2.26} \cdot Mass Flux^{0.08} \cdot Inlet Subcooling^{4.22}},\frac{Tube Diameter^{0.61} \cdot Mass Flux^{2.0} \cdot Outlet Quality^{0.95} \cdot Inlet Subcooling^{2.63}}{Heated Length^{1.73} \cdot Pressure^{1.0} \cdot g^{1.13}},,,,,,
28,3,438704.2775097549,-0.09390387732620548,1101,3,\frac{Tube Diameter^{2.01} \cdot Heated Length^{5.2} \cdot Mass Flux^{3.76} \cdot Outlet Quality^{1.55} \cdot g^{7.22}}{Pressure^{2.76} \cdot Inlet Subcooling^{4.83}},\frac{Mass Flux^{4.49} \cdot Inlet Subcooling^{9.82}}{Tube Diameter^{6.9} \cdot Heated Length^{0.17} \cdot Pressure^{3.49} \cdot Outlet Quality^{8.57} \cdot g^{7.08}},\frac{Tube Diameter^{0.49} \cdot Mass Flux^{1.92} \cdot Outlet Quality^{0.94} \cdot Inlet Subcooling^{2.4}}{Heated Length^{1.44} \cdot Pressure^{0.92} \cdot g^{0.94}},,,,,,,
29,3,445539.32340261276,-0.1268697438679509,0111,3,\frac{Mass Flux^{4.49} \cdot Inlet Subcooling^{9.83}}{Tube Diameter^{6.91} \cdot Heated Length^{0.17} \cdot Pressure^{3.49} \cdot Outlet Quality^{8.57} \cdot g^{7.08}},\frac{Heated Length^{2.51} \cdot Pressure^{2.49} \cdot Outlet Quality^{4.75} \cdot g^{0.19}}{Tube Diameter^{2.32} \cdot Mass Flux^{1.49} \cdot Inlet Subcooling^{0.43}},\frac{Tube Diameter^{0.61} \cdot Mass Flux^{2.09} \cdot Outlet Quality^{1.01} \cdot Inlet Subcooling^{2.75}}{Heated Length^{1.81} \cdot Pressure^{1.09} \cdot g^{1.2}},,,,,,,
30,3,451591.4387724404,-0.10185105414342005,0111,3,\frac{Mass Flux^{4.49} \cdot Inlet Subcooling^{9.83}}{Tube Diameter^{6.91} \cdot Heated Length^{0.17} \cdot Pressure^{3.49} \cdot Outlet Quality^{7.67} \cdot g^{7.08}},\frac{Heated Length^{2.57} \cdot Pressure^{2.42} \cdot Outlet Quality^{4.75} \cdot g^{0.19}}{Tube Diameter^{2.38} \cdot Mass Flux^{1.42} \cdot Inlet Subcooling^{0.4}},\frac{Tube Diameter^{0.61} \cdot Mass Flux^{2.09} \cdot Outlet Quality^{1.01} \cdot Inlet Subcooling^{2.75}}{Heated Length^{1.81} \cdot Pressure^{1.09} \cdot g^{1.2}},,,,,,,
31,4,455369.3126892884,-0.11777461118517535,1111,4,\frac{Heated Length^{6.12} \cdot Pressure^{2.43} \cdot Outlet Quality^{1.57} \cdot g^{0.24}}{Tube Diameter^{5.89} \cdot Mass Flux^{1.43} \cdot Inlet Subcooling^{0.45}},\frac{Heated Length^{0.11} \cdot Mass Flux^{4.52} \cdot Inlet Subcooling^{9.71}}{Tube Diameter^{7.06} \cdot Pressure^{3.52} \cdot Outlet Quality^{7.72} \cdot g^{6.95}},\frac{Tube Diameter^{7.39} \cdot Pressure^{1.66} \cdot Outlet Quality^{6.9} \cdot g^{4.89}}{Heated Length^{2.5} \cdot Mass Flux^{0.66} \cdot Inlet Subcooling^{4.72}},\frac{Tube Diameter^{0.59} \cdot Mass Flux^{2.07} \cdot Outlet Quality^{1.18} \cdot Inlet Subcooling^{2.73}}{Heated Length^{1.79} \cdot Pressure^{1.07} \cdot g^{1.2}},,,,,,
32,3,458951.38723038527,-0.10929747959911593,1101,3,\frac{Heated Length^{6.81} \cdot Pressure^{2.55} \cdot Outlet Quality^{1.31} \cdot g^{0.79}}{Tube Diameter^{6.01} \cdot Mass Flux^{1.55} \cdot Inlet Subcooling^{1.07}},\frac{Mass Flux^{4.61} \cdot Inlet Subcooling^{9.87}}{Tube Diameter^{6.98} \cdot Heated Length^{0.09} \cdot Pressure^{3.61} \cdot Outlet Quality^{7.73} \cdot g^{7.07}},\frac{Tube Diameter^{0.58} \cdot Mass Flux^{2.06} \cdot Outlet Quality^{1.03} \cdot Inlet Subcooling^{2.74}}{Heated Length^{1.79} \cdot Pressure^{1.06} \cdot g^{1.21}},,,,,,,
33,4,525503.9304153321,-0.17925316895613994,1111,4,\frac{Tube Diameter^{2.84} \cdot Pressure^{0.35} \cdot Mass Flux^{0.65} \cdot Inlet Subcooling^{3.74}}{Heated Length^{5.75} \cdot Outlet Quality^{0.33} \cdot g^{2.91}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.62} \cdot g^{7.28}},\frac{Heated Length^{1.44} \cdot Pressure^{2.49} \cdot Outlet Quality^{6.91} \cdot Inlet Subcooling^{0.11}}{Tube Diameter^{1.79} \cdot Mass Flux^{1.49} \cdot g^{0.35}},\frac{Tube Diameter^{6.1} \cdot Mass Flux^{2.65} \cdot Outlet Quality^{0.96} \cdot g^{2.49}}{Heated Length^{3.61} \cdot Pressure^{1.65} \cdot Inlet Subcooling^{0.67}},,,,,,
34,3,525524.5150616984,-0.14120779220650787,1110,3,\frac{Tube Diameter^{2.8} \cdot Pressure^{0.37} \cdot Mass Flux^{0.63} \cdot Inlet Subcooling^{3.76}}{Heated Length^{5.75} \cdot Outlet Quality^{0.33} \cdot g^{2.95}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.62} \cdot g^{7.28}},\frac{Heated Length^{1.44} \cdot Pressure^{2.49} \cdot Outlet Quality^{5.49} \cdot Inlet Subcooling^{0.11}}{Tube Diameter^{1.79} \cdot Mass Flux^{1.49} \cdot g^{0.35}},,,,,,,
35,4,527204.3054464028,-0.14564112863449946,1111,4,\frac{Tube Diameter^{2.8} \cdot Pressure^{0.37} \cdot Mass Flux^{0.63} \cdot Inlet Subcooling^{3.76}}{Heated Length^{5.75} \cdot Outlet Quality^{0.33} \cdot g^{2.95}},\frac{Heated Length^{0.09} \cdot Mass Flux^{4.15} \cdot Inlet Subcooling^{9.86}}{Tube Diameter^{7.37} \cdot Pressure^{3.15} \cdot Outlet Quality^{8.62} \cdot g^{7.28}},\frac{Heated Length^{1.44} \cdot Pressure^{2.49} \cdot Outlet Quality^{5.49} \cdot Inlet Subcooling^{0.11}}{Tube Diameter^{1.79} \cdot Mass Flux^{1.49} \cdot g^{0.35}},\frac{Heated Length^{5.69} \cdot Pressure^{2.36} \cdot Outlet Quality^{0.95} \cdot g^{4.03}}{Tube Diameter^{1.66} \cdot Mass Flux^{1.36} \cdot Inlet Subcooling^{4.22}},,,,,,
