solution_id,num_active_pi,objective_1,objective_2,c_mask,active_pi_count,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,pi_10,pareto_rank
24,2,0.002771392378813218,-0.06852376313571462,11,2,\frac{nu^{1.57} \cdot t^{0.26}}{y^{1.83} \cdot U^{1.3}},\frac{nu^{0.18} \cdot U^{0.02} \cdot t^{0.19}}{y^{0.37}},,,,,,,,,1
25,2,0.0028009026884884334,-0.06856174431153761,11,2,\frac{nu^{1.52} \cdot t^{0.3}}{y^{1.82} \cdot U^{1.23}},\frac{nu^{0.17} \cdot U^{0.03} \cdot t^{0.2}}{y^{0.37}},,,,,,,,,1
26,2,0.0028175640481012602,-0.07083711073882926,11,2,\frac{nu^{1.55} \cdot t^{0.28}}{y^{1.83} \cdot U^{1.27}},\frac{nu^{0.17} \cdot U^{0.03} \cdot t^{0.2}}{y^{0.37}},,,,,,,,,1
27,2,0.0028222313636894194,-0.08324515867314297,11,2,\frac{nu^{1.48} \cdot t^{0.33}}{y^{1.81} \cdot U^{1.15}},\frac{nu^{0.14} \cdot U^{0.02} \cdot t^{0.16}}{y^{0.3}},,,,,,,,,1
28,2,0.0028436455625892735,-0.0876191467823032,11,2,\frac{nu^{1.53} \cdot t^{0.29}}{y^{1.82} \cdot U^{1.23}},\frac{nu^{0.14} \cdot U^{0.02} \cdot t^{0.16}}{y^{0.3}},,,,,,,,,1
29,2,0.0028473633440827687,-0.0881866016351105,11,2,\frac{nu^{1.53} \cdot t^{0.29}}{y^{1.82} \cdot U^{1.24}},\frac{nu^{0.14} \cdot U^{0.03} \cdot t^{0.16}}{y^{0.3}},,,,,,,,,1
30,2,0.0028668321846717043,-0.09118501009466473,11,2,\frac{nu^{1.55} \cdot t^{0.28}}{y^{1.83} \cdot U^{1.27}},\frac{nu^{0.13} \cdot U^{0.02} \cdot t^{0.16}}{y^{0.29}},,,,,,,,,1
31,2,0.002900261640679697,-0.09241781896846635,11,2,\frac{nu^{1.53} \cdot t^{0.29}}{y^{1.82} \cdot U^{1.24}},\frac{nu^{0.13} \cdot U^{0.03} \cdot t^{0.16}}{y^{0.29}},,,,,,,,,1
32,2,0.002923223680961411,-0.09628459965364211,11,2,\frac{nu^{1.55} \cdot t^{0.28}}{y^{1.83} \cdot U^{1.28}},\frac{nu^{0.12} \cdot U^{0.03} \cdot t^{0.16}}{y^{0.28}},,,,,,,,,1
33,2,0.00303965958502924,-0.0980653383110468,11,2,\frac{U^{1.78} \cdot t^{1.42}}{y^{1.05} \cdot nu^{0.37}},\frac{nu^{0.12} \cdot U^{0.04} \cdot t^{0.16}}{y^{0.28}},,,,,,,,,1
